"cid","sid","userid","reply2Id","mid_num","idstr","ctext","csource","create_at"
"3789839801376242","3789768658184178","1868361067",NULL,"3789839801376242","3789839801376242","天河二号的单计算机柜是32个socket，64个节点。这样看文中千节点中128个控制节点用了2个机柜，８*128的计算节点用了16个机柜，总共18个机柜。要是在运营商部署，4KW供电负载，要上百机柜了","<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>","Sat Dec 20 13:01:23 +0800 2014"
"3790278672939013","3790277896441102","1517916214",NULL,"3790278672939013","3790278672939013","人家带了奶茶妹，你呢？","<a href=""http://app.weibo.com/t/feed/3G5oUM"" rel=""nofollow"">iPhone 5s</a>","Sun Dec 21 18:05:18 +0800 2014"
"3790322892881928","3790322649585771","3958063235",NULL,"3790322892881928","3790322892881928","你盗取我朋友的文章，可耻！@言慕先生","<a href=""http://app.weibo.com/t/feed/3G5oUM"" rel=""nofollow"">iPhone 5s</a>","Sun Dec 21 21:01:01 +0800 2014"
"3790323094563692","3790322951411789","1768685651",NULL,"3790323094563692","3790323094563692","喝奶茶","<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone客户端</a>","Sun Dec 21 21:01:49 +0800 2014"
"3790323212315354","3789768658184178","1715118170",NULL,"3790323212315354","3790323212315354","应该有的，欢迎比这个规模大的童鞋出来冒个泡！[鼓掌]//@killingwolf: 国内还有比这个规模大的吗？","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Sun Dec 21 21:02:17 +0800 2014"
"3790323359010147","3790322951411789","1421309552",NULL,"3790323359010147","3790323359010147","装逼的一群//@任志强: 没文化的被吓住了？ //@米瑞蓉:人家带了奶茶妹，你呢？","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Sun Dec 21 21:02:51 +0800 2014"
"3790323458976486","3790322951411789","1917260881",NULL,"3790323458976486","3790323458976486","你们这明显是帮潘石屹转移话题啊[挖鼻屎]","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Sun Dec 21 21:03:16 +0800 2014"
"3790323509724392","3790322951411789","2027924937",NULL,"3790323509724392","3790323509724392"," @张欣 参加了吗？","<a href=""http://app.weibo.com/t/feed/4ACxed"" rel=""nofollow"">iPad客户端</a>","Sun Dec 21 21:03:28 +0800 2014"
"3790323539112688","3790322653782213","1746452500",NULL,"3790323539112688","3790323539112688","[good]","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Sun Dec 21 21:03:34 +0800 2014"
"3790323585493620","3790322951411789","1118056281",NULL,"3790323585493620","3790323585493620","文人现在是贬义词","<a href=""http://app.weibo.com/t/feed/3Q8E7y"" rel=""nofollow"">中国移动-三星GalaxyNote3</a>","Sun Dec 21 21:03:46 +0800 2014"
"3790323610500741","3790322951411789","1768685651",NULL,"3790323610500741","3790323610500741","任叔、我是追随你的铁杆杆[兔子][兔子]","<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone客户端</a>","Sun Dec 21 21:03:52 +0800 2014"
"3790323635354102","3790322951411789","1969493972",NULL,"3790323635354102","3790323635354102","哈哈哈哈","<a href=""http://app.weibo.com/t/feed/3o33sO"" rel=""nofollow"">iPhone 6</a>","Sun Dec 21 21:03:57 +0800 2014"
"3790323644277597","3790322951411789","3606671654",NULL,"3790323644277597","3790323644277597","说的是刁某吧，还动不动中华文化怎么怎么的","<a href=""http://app.weibo.com/t/feed/3KeSKP"" rel=""nofollow"">WeicoPro</a>","Sun Dec 21 21:04:00 +0800 2014"
"3790323677424621","3790323211870321","5309915592",NULL,"3790323677424621","3790323677424621","大土豪中石油的数据中心，可以比较下。","<a href=""http://app.weibo.com/t/feed/4CpTyG"" rel=""nofollow"">荣耀畅玩4</a>","Sun Dec 21 21:04:08 +0800 2014"
"3790323924593567","3790322951411789","1426172774",NULL,"3790323924593567","3790323924593567","企业家，有俩骗共产党的糟钱，就冒充文化人了？谁信？//@任志强:没文化的被吓住了？ //@米瑞蓉:人家带了奶茶妹，你呢？","<a href=""http://app.weibo.com/t/feed/3Q8E7y"" rel=""nofollow"">中国移动-三星GalaxyNote3</a>","Sun Dec 21 21:05:07 +0800 2014"
"3790324029871054","3790322951411789","3561402323",NULL,"3790324029871054","3790324029871054","[哈哈][哈哈][哈哈]","<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>","Sun Dec 21 21:05:32 +0800 2014"
"3790324042465369","3790322951411789","5348208676",NULL,"3790324042465369","3790324042465369","文化是企业的灵魂，经济是企业的必要保证。","<a href=""http://app.weibo.com/t/feed/6P3lp0"" rel=""nofollow"">Lumia 638 GDR1</a>","Sun Dec 21 21:05:34 +0800 2014"
"3790324189168589","3790322951411789","1108066570",NULL,"3790324189168589","3790324189168589","潘总带了沈星？[哈哈]","<a href=""http://app.weibo.com/t/feed/3o33sO"" rel=""nofollow"">iPhone 6</a>","Sun Dec 21 21:06:10 +0800 2014"
"3790324310933241","3790322951411789","1243151257",NULL,"3790324310933241","3790324310933241","[兔子]","<a href=""http://app.weibo.com/t/feed/e0WUS"" rel=""nofollow"">微博桌面</a>","Sun Dec 21 21:06:39 +0800 2014"
"3790324364778601","3790322951411789","3282503983",NULL,"3790324364778601","3790324364778601","你们这些大佬我怎么觉得让人离得越来越远了","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Sun Dec 21 21:06:52 +0800 2014"
"3790324365723097","3790322951411789","2505931200",NULL,"3790324365723097","3790324365723097","战队真可怕","<a href=""http://app.weibo.com/t/feed/3G5oUM"" rel=""nofollow"">iPhone 5s</a>","Sun Dec 21 21:06:52 +0800 2014"
"3790324448674824","3790322951411789","2159296617",NULL,"3790324448674824","3790324448674824","你俩还比粉丝数量吗？","<a href=""http://app.weibo.com/t/feed/2AhyC"" rel=""nofollow"">三星Galaxy Note II</a>","Sun Dec 21 21:07:12 +0800 2014"
"3790324457837067","3790322951411789","1888281331",NULL,"3790324457837067","3790324457837067","奶茶见到老潘叫叔叔还是叫伯伯还是叫大哥？","<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone客户端</a>","Sun Dec 21 21:07:13 +0800 2014"
"3790324465917196","3790322951411789","1863599464",NULL,"3790324465917196","3790324465917196","二到家的教授。","<a href=""http://app.weibo.com/t/feed/2y7Irr"" rel=""nofollow"">UC浏览器Android版</a>","Sun Dec 21 21:07:15 +0800 2014"
"3790324466031488","3790322951411789","1989838815",NULL,"3790324466031488","3790324466031488","潘总都不敢带个奶茶杯，更别说妹了。。 //@任志强:没文化的被吓住了？ //@米瑞蓉:人家带了奶茶妹，你呢？","<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone客户端</a>","Sun Dec 21 21:07:16 +0800 2014"
"3790324587100736","3790322951411789","3299554975",NULL,"3790324587100736","3790324587100736","一语惊醒文化人、一语道破天机[哈哈] //@任志强:没文化的被吓住了？ //@米瑞蓉:人家带了奶茶妹，你呢？","<a href=""http://app.weibo.com/t/feed/4ACxed"" rel=""nofollow"">iPad客户端</a>","Sun Dec 21 21:07:44 +0800 2014"
"3790324608786052","3790322951411789","2358461644",NULL,"3790324608786052","3790324608786052","[哈哈][哈哈][哈哈]//@任志强:没文化的被吓住了？ //@米瑞蓉:人家带了奶茶妹，你呢？","<a href=""http://app.weibo.com/t/feed/1J95c3"" rel=""nofollow"">红米手机</a>","Sun Dec 21 21:07:49 +0800 2014"
"3790324625790925","3790322951411789","1298473447",NULL,"3790324625790925","3790324625790925","那位教授说的没错，现在会忽悠的都喜欢哪壶不开提哪壶。","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Sun Dec 21 21:07:54 +0800 2014"
"3790324675704673","3790322951411789","1768354461",NULL,"3790324675704673","3790324675704673","不谈文化，谈文化演化。","<a href=""http://app.weibo.com/t/feed/3G5oUM"" rel=""nofollow"">iPhone 5s</a>","Sun Dec 21 21:08:06 +0800 2014"
"3790324839672134","3790322951411789","2128553132",NULL,"3790324839672134","3790324839672134","[哈哈]谁还敢说自己有文化？皮毛而已 [哈哈]","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Sun Dec 21 21:08:45 +0800 2014"
"3790325007156563","3790322951411789","1580835237",NULL,"3790325007156563","3790325007156563","[偷笑]","<a href=""http://app.weibo.com/t/feed/3G5oUM"" rel=""nofollow"">iPhone 5s</a>","Sun Dec 21 21:09:24 +0800 2014"
"3790325024165582","3790322951411789","2879269577",NULL,"3790325024165582","3790325024165582","[嘻嘻] //@任志强:没文化的被吓住了？ //@米瑞蓉:人家带了奶茶妹，你呢？","<a href=""http://app.weibo.com/t/feed/5yiHuw"" rel=""nofollow"">iPhone 6 Plus</a>","Sun Dec 21 21:09:29 +0800 2014"
"3790325132621684","3790322951411789","1872147427",NULL,"3790325132621684","3790325132621684","都这么能装。。。有文化。。。尤其是从美国回来的。。。//@任志强: 没文化的被吓住了？ //@米瑞蓉:人家带了奶茶妹，你呢？","<a href=""http://app.weibo.com/t/feed/1tqBja"" rel=""nofollow"">360安全浏览器</a>","Sun Dec 21 21:09:55 +0800 2014"
"3790325166456248","3790322951411789","3966352875",NULL,"3790325166456248","3790325166456248","不能否认文化的存在//@任志强:没文化的被吓住了？ //@米瑞蓉:人家带了奶茶妹，你呢？","<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>","Sun Dec 21 21:10:03 +0800 2014"
"3790325166670856","3790322951411789","2128553132",NULL,"3790325166670856","3790325166670856","要在大众面前谈文化就得先和章太炎先生的课程学上几年。","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Sun Dec 21 21:10:03 +0800 2014"
"3790325242038399","3790322951411789","1192721315",NULL,"3790325242038399","3790325242038399","这个B装得有点大","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Sun Dec 21 21:10:21 +0800 2014"
"3790325359139856","3790322951411789","2505931200",NULL,"3790325359139856","3790325359139856","潘潘哪敢和他比，一个是自己发家然后找的小姨太，一个是吃软饭发家，也难怪说话不硬啊[嘻嘻][嘻嘻][哈哈]","<a href=""http://app.weibo.com/t/feed/3G5oUM"" rel=""nofollow"">iPhone 5s</a>","Sun Dec 21 21:10:49 +0800 2014"
"3790325359345867","3790322951411789","2831660010",NULL,"3790325359345867","3790325359345867","应该把有文化的人给带上","<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>","Sun Dec 21 21:10:49 +0800 2014"
"3790325409476988","3790322649585771","2325700394",NULL,"3790325409476988","3790325409476988","@封刃XXX徐行","<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone客户端</a>","Sun Dec 21 21:11:01 +0800 2014"
"3790325489733091","3790322649585771","1966735095",NULL,"3790325489733091","3790325489733091","这条段子不错，黑的漂亮","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Sun Dec 21 21:11:20 +0800 2014"
"3790325556090156","3790322951411789","1914087257",NULL,"3790325556090156","3790325556090156","什么是文化？","<a href=""http://app.weibo.com/t/feed/3o33sO"" rel=""nofollow"">iPhone 6</a>","Sun Dec 21 21:11:36 +0800 2014"
