"cid","sid","userid","reply2Id","mid_num","idstr","ctext","csource","create_at"
"3827152803721439","3827152405691688","101707",NULL,"3827152803721439","3827152803721439","[心] 这图真棒 很符合现在的心境~ 收藏咯~ 谢~~","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Thu Apr 02 12:09:56 +0800 2015"
"3827161821869062","3827160647398914","1601626323",NULL,"3827161821869062","3827161821869062","[挖鼻屎]汪小菲","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Thu Apr 02 12:45:46 +0800 2015"
"3827161905895480","3827160647398914","3117072050",NULL,"3827161905895480","3827161905895480","转发微博","<a href=""http://app.weibo.com/t/feed/2AhyC"" rel=""nofollow"">三星Galaxy Note II</a>","Thu Apr 02 12:46:05 +0800 2015"
"3827162778064353","3827160647398914","1661497863",NULL,"3827162778064353","3827162778064353","@Danma2010 [doge]","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Thu Apr 02 12:49:34 +0800 2015"
"3827162799054627","3827160647398914","1849304573",NULL,"3827162799054627","3827162799054627","这么说就是成功人士大聚会，跟一般意义上的大学没有一毛钱关系。","<a href=""http://app.weibo.com/t/feed/2AhyC"" rel=""nofollow"">三星Galaxy Note II</a>","Thu Apr 02 12:49:38 +0800 2015"
"3827164044256682","3827160647398914","1403119555",NULL,"3827164044256682","3827164044256682","孔子72弟子，马云36学生","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Thu Apr 02 12:54:36 +0800 2015"
"3827164682283162","3827160647398914","1798041161",NULL,"3827164682283162","3827164682283162","马云想做现代企业家的宗师 呵呵 至于吗","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Thu Apr 02 12:57:08 +0800 2015"
"3827165017175713","3827160647398914","5551974471",NULL,"3827165017175713","3827165017175713","[嘻嘻]","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Thu Apr 02 12:58:28 +0800 2015"
"3827165176575834","3827160647398914","1507897013",NULL,"3827165176575834","3827165176575834","@熊熊的兔娘 @兔娘的熊熊  惊呆","<a href=""http://app.weibo.com/t/feed/5yiHuw"" rel=""nofollow"">iPhone 6 Plus</a>","Thu Apr 02 12:59:06 +0800 2015"
"3827165927433307","3827160647398914","1448171993",NULL,"3827165927433307","3827165927433307","湖畔大学，东林书院？","<a href=""http://app.weibo.com/t/feed/1KucM4"" rel=""nofollow"">荣耀3C</a>","Thu Apr 02 13:02:05 +0800 2015"
"3827166884513082","3827166725241597","2198900365",NULL,"3827166884513082","3827166884513082","一说相关措施我就不懂了","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Thu Apr 02 13:05:53 +0800 2015"
"3827167018852996","3827166725241597","2035385803",NULL,"3827167018852996","3827167018852996","最主要還是沒錢","<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone客户端</a>","Thu Apr 02 13:06:25 +0800 2015"
"3827167085178015","3827166725241597","3269422664",NULL,"3827167085178015","3827167085178015","-_-|||","<a href=""http://app.weibo.com/t/feed/2y7Irr"" rel=""nofollow"">UC浏览器Android版</a>","Thu Apr 02 13:06:41 +0800 2015"
"3827167178123334","3827166725241597","2152217684",NULL,"3827167178123334","3827167178123334","公仆以及公仆家的鸡犬们少了呗","<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone客户端</a>","Thu Apr 02 13:07:03 +0800 2015"
"3827167815117086","3827166725241597","2008779313",NULL,"3827167815117086","3827167815117086","中国再这样，以后就没有国家和中国一起玩耍了","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Thu Apr 02 13:09:35 +0800 2015"
"3827168121012104","3827166725241597","2273099211",NULL,"3827168121012104","3827168121012104","[思考]","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Thu Apr 02 13:10:48 +0800 2015"
