,cid,sid,screen_name,reply2Id,ctext,csource,create_at,UC
0,3827152803721439,3827152405691688,xingxing,,[心] 这图真棒 很符合现在的心境~ 收藏咯~ 谢~~,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 12:09:56 +0800 2015,0
1,3827161821869062,3827160647398914,BRUCELGY,,[挖鼻屎]汪小菲,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 12:45:46 +0800 2015,2
2,3827161905895480,3827160647398914,营销讲师吴昌鸿,,转发微博,"<a href=""http://app.weibo.com/t/feed/2AhyC"" rel=""nofollow"">三星Galaxy Note II</a>",Thu Apr 02 12:46:05 +0800 2015,2
3,3827162778064353,3827160647398914,朱泽琰,,@Danma2010 [doge],"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 12:49:34 +0800 2015,1
4,3827162799054627,3827160647398914,阿兰CPA,,这么说就是成功人士大聚会，跟一般意义上的大学没有一毛钱关系。,"<a href=""http://app.weibo.com/t/feed/2AhyC"" rel=""nofollow"">三星Galaxy Note II</a>",Thu Apr 02 12:49:38 +0800 2015,2
5,3827164044256682,3827160647398914,杨国营,,孔子72弟子，马云36学生,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 12:54:36 +0800 2015,1
6,3827164682283162,3827160647398914,练功房,,马云想做现代企业家的宗师 呵呵 至于吗,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 12:57:08 +0800 2015,3
7,3827165017175713,3827160647398914,船长解盘,,[嘻嘻],"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 12:58:28 +0800 2015,2
8,3827165176575834,3827160647398914,outwoman,,@熊熊的兔娘 @兔娘的熊熊  惊呆,"<a href=""http://app.weibo.com/t/feed/5yiHuw"" rel=""nofollow"">iPhone 6 Plus</a>",Thu Apr 02 12:59:06 +0800 2015,1
9,3827165927433307,3827160647398914,琪琪龙2010,,湖畔大学，东林书院？,"<a href=""http://app.weibo.com/t/feed/1KucM4"" rel=""nofollow"">荣耀3C</a>",Thu Apr 02 13:02:05 +0800 2015,3
10,3827166884513082,3827166725241597,人贱人爱黄大腚,,一说相关措施我就不懂了,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 13:05:53 +0800 2015,1
11,3827167018852996,3827166725241597,要成为海贼王的女人-,,最主要還是沒錢,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone客户端</a>",Thu Apr 02 13:06:25 +0800 2015,1
12,3827167085178015,3827166725241597,彼岸z等待,,-_-|||,"<a href=""http://app.weibo.com/t/feed/2y7Irr"" rel=""nofollow"">UC浏览器Android版</a>",Thu Apr 02 13:06:41 +0800 2015,3
13,3827167178123334,3827166725241597,安静的石头2000,,公仆以及公仆家的鸡犬们少了呗,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone客户端</a>",Thu Apr 02 13:07:03 +0800 2015,3
14,3827167815117086,3827166725241597,青春路上的帅小帅,,中国再这样，以后就没有国家和中国一起玩耍了,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 13:09:35 +0800 2015,1
15,3827168121012104,3827166725241597,活着幸福快乐每一天,,[思考],"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 13:10:48 +0800 2015,1
16,3827168222432180,3827166725241597,sashalalala,,相关措施就是 反腐！,"<a href=""http://app.weibo.com/t/feed/3G5oUM"" rel=""nofollow"">iPhone 5s</a>",Thu Apr 02 13:11:12 +0800 2015,2
17,3827168230074679,3827166725241597,Economics原理,,其实跟相关政策关系不大 代购市场链完善也会如此的 进口政策也在放宽 边际价值也在降低 水比钻石重要 钻石却比水贵那么多无非就是因为稀缺 市场铺开之后边际价值就低了 现在lv三线城市中产也很普及了 富太太拿它就没有档次了,"<a href=""http://app.weibo.com/t/feed/5yiHuw"" rel=""nofollow"">iPhone 6 Plus</a>",Thu Apr 02 13:11:14 +0800 2015,2
18,3827168285410911,3827166725241597,sashalalala,,回复@青春路上的帅小帅:想多了,"<a href=""http://app.weibo.com/t/feed/3G5oUM"" rel=""nofollow"">iPhone 5s</a>",Thu Apr 02 13:11:27 +0800 2015,2
19,3827168473837652,3827166725241597,英雄联萌盟主,,关于本人举报漆河派出所这微博，目前纪委已经在调查此事，本人是原作者，也是受害者家属，在此期间有人私底下找过本人和本人父母，如果未来本人受到意外伤害，求网友保留证据，继续积极的对抗！！谢谢！！本人是共产党员，曾经为了阻止被黑社会破坏公共财物，被砍过数刀，完全能够承担一切网络责任！,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 13:12:12 +0800 2015,3
20,3827168523704448,3827166725241597,青春路上的帅小帅,3827168285410911.0,回复@sashalalala:哈哈，就是这么说笑一下而已,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 13:12:23 +0800 2015,1
21,3827168960331563,3827166725241597,秋日的私语的blog,,很正常。第一次出国都是很激动的傻冒，到处花钱。去过几次就理性了。,"<a href=""http://app.weibo.com/t/feed/4ACxed"" rel=""nofollow"">iPad客户端</a>",Thu Apr 02 13:14:08 +0800 2015,2
22,3827169732514371,3827166725241597,幸运为了明天_71233,,巴黎又不便宜，去看看港行和日本,"<a href=""http://app.weibo.com/t/feed/99GpJ"" rel=""nofollow"">华为Ascend Mate7</a>",Thu Apr 02 13:17:12 +0800 2015,3
23,3827172248926043,3827166725241597,刘波的blog,,可见以前消费的都是什么人。。。,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 13:27:12 +0800 2015,2
24,3827173427745262,3827166725241597,升级中的阿Lee,3827172248926043.0,回复@刘波的blog:官太太,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone客户端</a>",Thu Apr 02 13:31:53 +0800 2015,1
25,3827173461327522,3827160647398914,卖力飞奔的蜗牛,,工商界的团团伙伙？[挖鼻屎],"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>",Thu Apr 02 13:32:01 +0800 2015,2
26,3827174404587189,3827166725241597,鹿城散讲,,傻子被你们骗多了也变精了.,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 13:35:46 +0800 2015,3
27,3827177143791858,3827166725241597,Borman_Sou,,把消费拉回来,"<a href=""http://app.weibo.com/t/feed/4y9rz1"" rel=""nofollow"">魅族 MX4 Pro</a>",Thu Apr 02 13:46:39 +0800 2015,1
28,3827177227222118,3827160647398914,Andre_SCM_IT_在路上,,呵呵呵呵呵,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 13:46:59 +0800 2015,1
29,3827178318317845,3827166725241597,广州仔YUYU,,大部分官猿家属,"<a href=""http://app.weibo.com/t/feed/6Df7i5"" rel=""nofollow"">小米手机2S</a>",Thu Apr 02 13:51:19 +0800 2015,2
30,3827182285740292,3827166725241597,sweetwen,,什么措施啊？,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 14:07:05 +0800 2015,2
31,3827186316609253,3827166725241597,振动宇宙的微博,,官太太，官二奶，官二代，官二代的太太，官二代的二奶，etc。。。,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 14:23:06 +0800 2015,2
32,3827187604438949,3827160647398914,每日视野-商业模式与资本运营,,还是关注我的每日新鲜资讯吧~,"<a href=""http://app.weibo.com/t/feed/158TxN"" rel=""nofollow"">荣耀3X畅玩版</a>",Thu Apr 02 14:28:13 +0800 2015,2
33,3827189747118322,3827166725241597,July偶,,少买点，也支持一下中国经济,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 14:36:44 +0800 2015,1
34,3827200132474394,3827166725241597,不施仁义的君子,,官商出现了问题？,"<a href=""http://app.weibo.com/t/feed/5dtGzh"" rel=""nofollow"">魅族 MX</a>",Thu Apr 02 15:18:00 +0800 2015,1
