"sid","userid","retweetOfId","gid","mid_num","idstr","text","source","create_at","reposts_count","comments_count","attitude_count","favorited","truncated","bmiddle_pic"
"3827147552668678","1774800467",NULL,NULL,"3827147552668678","3827147552668678","【为股民点灯，为公司敲钟：盘点股市里的那些愚人愚事】从湘鄂情更名而来的中科云网，血管里仍然流淌着“湘鄂情”的血液，仍然保持着“故事大王”的本色。就连一向平淡无奇、很难讲出“故事”来的股东大会，该公司也能讲出“奇葩”来。http://t.cn/RAtxZRl","<a href=""http://app.weibo.com/t/feed/BbsPZ"" rel=""nofollow"">投资界</a>","Thu Apr 02 11:49:04 +0800 2015","0","0","1",NULL,NULL,"http://ww1.sinaimg.cn/bmiddle/69c94e53jw1eqr2xpyfxej20dw09daaw.jpg"
"3827253886822570","2820974483",NULL,NULL,"3827253886822570","3827253886822570","想说的都在照片上  #标记生活的美好# 来自@nice，去看一下 http://t.cn/RAts6mm","<a href=""http://app.weibo.com/t/feed/W8CDd"" rel=""nofollow"">nice</a>","Thu Apr 02 18:51:35 +0800 2015","0","0","0",NULL,NULL,"http://ww4.sinaimg.cn/bmiddle/a824a793jw1eqrf5cqs6aj20hs0hsgp4.jpg"
"3827259137580245","5103578591",NULL,NULL,"3827259137580245","3827259137580245","树洞君我给你的私信发没咯","<a href=""http://app.weibo.com/t/feed/3722nD"" rel=""nofollow"">微博树洞</a>","Thu Apr 02 19:12:28 +0800 2015","0","0","29",NULL,NULL,NULL
"3827267463802813","1819318401",NULL,NULL,"3827267463802813","3827267463802813","【LIVE！丁俊晖VS马克-威廉姆斯】丁俊晖来到福地北京，终于止住下滑颓势，以两个5-1接连淘汰坎贝尔与戴维斯，渐入佳境强势杀进16强。1/8决赛，丁俊晖对阵金左手马克-威廉姆斯，胜者将在1/4决赛对阵特鲁姆普与希金斯的胜者。央视网体育正在视频直播本场比赛，敬请关注！【直播地址】http://t.cn/a1Klxk","<a href=""http://app.weibo.com/t/feed/1tqBja"" rel=""nofollow"">360安全浏览器</a>","Thu Apr 02 19:45:33 +0800 2015","0","0","4",NULL,NULL,"http://ww2.sinaimg.cn/bmiddle/6c709881gw1eqrgph78ylj20c80bqgmw.jpg"
"3827462876674793","1774800467",NULL,NULL,"3827462876674793","3827462876674793","【“淡定”古永锵：我很温和，但咬起人来也挺疼 不追逐资本市场热门】古永锵一身休闲装扮，面对摄像机镜头，有些不自然地放下一直拢到了胳膊的衬衣袖口。在助推搜狐上市及优酷并购土豆前后的数年时间里，古永锵成功的同时也为自己烙下精明果断的银行家形象。","<a href=""http://app.weibo.com/t/feed/BbsPZ"" rel=""nofollow"">投资界</a>","Fri Apr 03 08:42:03 +0800 2015","0","0","2",NULL,NULL,"http://ww3.sinaimg.cn/bmiddle/69c94e53jw1eqs35ftkg6j20hs09waaf.jpg"
"3827534846724828","1774800467",NULL,NULL,"3827534846724828","3827534846724828","【广发证券成香饽饽：比H股IPO认购还火爆 中民投、众险资争相抢“肉”】相比H股IPO认购的火爆，认购广发证券的几个大机构同样引人注目。在市场人士看来，无论是中民投、富邦保险和安邦保险，三者有争夺广发证券的控制权的嫌疑。广发证券的股权为何如此吸引这么多大资金青睐？http://t.cn/RAcWT2T","<a href=""http://app.weibo.com/t/feed/BbsPZ"" rel=""nofollow"">投资界</a>","Fri Apr 03 13:28:02 +0800 2015","0","0","4",NULL,NULL,"http://ww4.sinaimg.cn/bmiddle/69c94e53jw1eqsbf05uo7j20go09oq3e.jpg"
"3827554488163832","1774800467",NULL,NULL,"3827554488163832","3827554488163832","【论一个好平板的“基本修养”：平板君，你可知道“你是我的眼”】早些年遇到景区抱着大大的IPAD照相的游客我绝对对其嗤之以鼻，笑话其装13而且傻缺，但是时至今日越来越多的人双手离不开平板，免不了用板板随手一拍，平板君的屏幕显示水准和摄像头成像能力不得不被当成刚需。http://t.cn/RAcleKN","<a href=""http://app.weibo.com/t/feed/BbsPZ"" rel=""nofollow"">投资界</a>","Fri Apr 03 14:46:05 +0800 2015","0","0","3",NULL,NULL,"http://ww2.sinaimg.cn/bmiddle/69c94e53jw1eqsdo6txmlj20c8709kjm.jpg"
"3827557357247139","2618638282",NULL,NULL,"3827557357247139","3827557357247139","#岳麓峰会#【徐少春:前22年是""破茧化蝶"" 未来10年要""蝶变成金""】从互联网到移动互联网，再到移动互联网+，作为产业大佬，52岁徐少春始终拥有着一颗“90后”的心。他认为90后追最有颠覆性，最能代表互联网时代。如今他怀着家乡情，引领了金蝶回湖南筑巢，努力实现着他的""金蝶梦""。http://t.cn/RAcFVM1","<a href=""http://app.weibo.com/t/feed/1Hrd5z"" rel=""nofollow"">VDong社交管理</a>","Fri Apr 03 14:57:28 +0800 2015","0","0","0",NULL,NULL,"http://ww2.sinaimg.cn/bmiddle/9c153fcajw1eqse02ngxlj20dw0990ue.jpg"
"3827559081410297","2820974483",NULL,NULL,"3827559081410297","3827559081410297","Why do nice people to choose the wrong people to date?","<a href=""http://app.weibo.com/t/feed/4ACxed"" rel=""nofollow"">iPad客户端</a>","Fri Apr 03 15:04:20 +0800 2015","0","0","0",NULL,NULL,"http://ww4.sinaimg.cn/bmiddle/a824a793jw1eqse77c1b8j218g0xcwk0.jpg"
"3827567578168568","2357213493",NULL,NULL,"3827567578168568","3827567578168568","【看大数据的#飞轮效应#如何盘活企业运行的四个基本模块】这是一个神奇的“飞轮”，也许能解救被互联网焦虑困扰的人们。它指只要能够利用客户数据为第三方开发出增值服务，就能支持公司持续地、免费地为客户提供更多的服务...... http://t.cn/RAc8xRf ","<a href=""http://app.weibo.com/t/feed/37ku8D"" rel=""nofollow"">虎嗅网</a>","Fri Apr 03 15:38:06 +0800 2015","0","0","0",NULL,NULL,"http://ww2.sinaimg.cn/bmiddle/8c803935jw1eqsf6bnjkgj20h80m8q7i.jpg"
