sid,userid,retweetOfId,text,source,reposts_count,comments_count,attitude_count,bmiddle_pic,credibility,UC
3789768658184180,1715118170,NULL,【OpenStack在天河二号的大规模部署实践】OpenStack本身的设计架构赋予其高度的可扩展性，然而在千节点量级的大规模部署中，仍然有许多因素决定了实际实施中需要在整体架构和细节优化上进行多方面的尝试与探索，本期《问底》将走进天河二号千节点级实践。http://t.cn/Rz13qgc,"<a href=""http://app.weibo.com/t/feed/2o92Kh"" rel=""nofollow"">vivo_X5Max</a>",29,2,7,NULL,2,1
3790277896441100,1182391231,NULL,下午论坛的主题是“文化重塑和经济转型”，光华一位教授说：“谁谈文化，谁就没文化”。一剑封喉，谁也不敢谈文化了。,"<a href=""http://app.weibo.com/t/feed/5yiHuw"" rel=""nofollow"">iPhone 6 Plus</a>",218,1,426,NULL,2,0
3790322649585770,1763362173,NULL,通过“安妮事件”业内人士告诉你真实的微博段子手！,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",17,5,3,NULL,1,0
3790322653782210,1043325954,NULL,【问地球30人 | 马希赫·阿琳娜嘉德：想请总统戴上面纱过日子】2014年，她为伊朗女性的着装自由而战。身在英国的阿琳娜嘉德，在Facebook上发起了一项名为「我的秘密自由」的活动，晒出了包括自己在内的伊朗女性摘下面纱的照片。http://t.cn/RzBPixk,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",7,1,9,NULL,2,0
3790322951411790,1182389073,3790277896441100,没文化的被吓住了？ //@米瑞蓉:人家带了奶茶妹，你呢？,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone客户端</a>",35,46,83,NULL,1,0
3790323211870320,1715118170,3789768658184180,应该有的，欢迎比这个规模大的童鞋出来冒个泡！[鼓掌]//@killingwolf: 国内还有比这个规模大的吗？,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",2,1,0,NULL,1,1
3790325489731210,1909380872,NULL,1、有苦有乐的人生是充实的，有成有败的人生是合理的，有得有失的人生是公平的，人生坎坷不平才有价值。2、有赢就有输，有成就有败，有得就有失。3、要成就必须去承担，要光明必须接受黑暗，要志业必须去付出。4、世间任何一件非凡之事，必有超常险境和苦难，旋涡中淡定从容者必至远。,"<a href=""http://weibo.com/"" rel=""nofollow"">iPhone 6 Plus</a>",20,1,6,NULL,1,0
3790328023107600,1663151443,NULL,宜家之家，一套全部用宜家产品完成的家。超爱这种天空蓝，给人一种清爽宁静的感觉，洗礼着每天疲惫的心！@汽车家居梦,"<a href=""http://app.weibo.com/t/feed/3auC5p"" rel=""nofollow"">皮皮时光机</a>",0,0,0,NULL,1,1
3790518947302770,1043325954,NULL,【董明珠 百分百正确女王 | 2014 年度面孔】因为在互联网热潮中，她用20年的时光坚守制造业，不但创造了惊人的品牌神话，还把「中国制造」推至国际市场。全文阅读：http://t.cn/Rzgk34z 视频：http://t.cn/RzgElJa,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",15,0,5,NULL,2,0
3790639747822830,1043325954,3790518947302770,「我总觉得电商，大家把它捧得太神奇了，我总认为是时代在发展过程的一个变化而已。线上销售更加体现是一种，现在很多的人正忙碌地工作，可能为这一部分人群带来了便利，但是我觉得它永远是一个补充，永远是相互之间的一个补充。」,"<a href=""http://app.weibo.com/t/feed/3auC5p"" rel=""nofollow"">皮皮时光机</a>",3,0,4,NULL,1,0
3790642301919680,1687445053,NULL,【如何在互联网中找到利润高的项目】暴利的项目：1）男人好色类2）女人爱美类3）儿童益智类4）老人健康类5）技能培训类。做一个互联网项目，必须先考虑三个因素：市场，产品，营销。,"<a href=""http://app.weibo.com/t/feed/4OaSXy"" rel=""nofollow"">互联网分析沙龙</a>",40,8,13,http://ww4.sinaimg.cn/bmiddle/64945e3djw1enimd737jkj20c838rapm.jpg,2,0
3790642523825600,1657236125,NULL,#酷玩意儿#【外来住宅】英国初创企业“光子项目”将推出“光子空间”计划，建造世界上第一个全部由智能玻璃打造的未来式住宅。“光子空间”可成为酒店、水疗中心、健康疗养所、医疗中心以及其他度假村的理想附属建筑，其外部“表皮”由智能玻璃组成，这些玻璃有弯曲的玻璃梁支撑。http://t.cn/RzeLmUn,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",10,1,5,http://ww3.sinaimg.cn/bmiddle/62c76a9dgw1enimbkzdc9j20op0gkq6g.jpg,2,0
3790643052758670,1774800467,NULL,【85后美女二次创业餐饮O2O：不靠脸吃饭】她此前已经有8年的工作经验，在上海的外资企业里做了3年的市场工作，并且还创办过一家30多人的广告公司，这次创业相当于是二次出发。http://t.cn/RzezrXX,"<a href=""http://app.weibo.com/t/feed/BbsPZ"" rel=""nofollow"">投资界</a>",2,1,3,http://ww3.sinaimg.cn/bmiddle/69c94e53jw1enimgap8gbj20b405kjsy.jpg,2,0
3790644688407270,1638782947,NULL,【神华集团公司总经理助理张文江等2人接受调查】经神华集团公司党组批准，神华集团公司总经理助理、神华科技发展有限责任公司董事长张文江，神华宁夏煤业集团有限责任公司安全监察局主任师刘宝龙涉嫌严重违纪违法，目前正接受组织调查。 http://t.cn/RzeHH1y,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",13,11,16,http://ww4.sinaimg.cn/bmiddle/61add7e3jw1enimmxu0b1j21kw11xdov.jpg,2,0
3790645770750390,1554710050,NULL,经过小伙伴三天加班加点的认真筛选，我们看到了很多奇思妙想，有新奇的创意，有趣的项目，也有调侃我们的同学，我们都一一仔仔细细全部看过！请大家关注，傅盛战队第二轮晋级名单，明天即将揭晓。,"<a href=""http://app.weibo.com/t/feed/5yiHuw"" rel=""nofollow"">iPhone 6 Plus</a>",3,6,10,http://ww3.sinaimg.cn/bmiddle/5caafe22jw1enimre2f0gj20hs0dcdhr.jpg,1,0
3790646902946790,2458565150,NULL,电子商务行业奇葩事儿挺多，赚钱的当当股价不到亏钱的京东的一半，市值更是相去甚远，这如何解释？看了招商证券的报告，发现当当相比京东估值果然是低了，目前正处于价值洼地，未来发展前景良好，因此就当前的股价而言，比较具有投资价值。@当当 @当当李国庆,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",20,10,3,http://ww4.sinaimg.cn/bmiddle/928aba1egw1enimw6iutrj20c81s0ajf.jpg,1,0
3790647141657490,1670898244,NULL,从1986年创办至今，方正集团已拥有总资产近千亿元，6家上市公司，员工总数近4万名。每一位方正人热爱北大，热爱方正，不容家园受侵犯！对于不实信息，方正集团已报案并采取法律措施，现特恳请党中央和人民政府彻查近段时间不明势力对于方正集团的持续诬告和陷害！也呼吁各界关注！,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",7911,911,199,http://ww4.sinaimg.cn/bmiddle/6397e244jw1enimwt54f0j20hs08wmxt.jpg,2,1
3790647267884540,1642634100,NULL,【[泪]iPhone 6在俄罗斯又涨价35% 不再是全球最低了】苹果今日宣布，受卢布贬值影响，现决定将iPhone俄罗斯售价调高35%。调整后，16GB版iPhone在俄罗斯现售53990卢布(约合856美元)，远高于之前的39990卢布(约合558美元)。这已经是苹果最近一个月第二次提高iPhone在俄罗斯的售价。http://t.cn/RzeTaQe,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",5,5,4,http://ww1.sinaimg.cn/bmiddle/61e89b74jw1enimxgob2rj20dw08ojrr.jpg,2,0
3790647288470700,1750199512,NULL,【我是如何解决SQL Server CPU占100%的】http://t.cn/Rze8ZKr,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",0,0,0,NULL,2,0
3790674467761580,1638782947,NULL,【10岁以下孩子不能作广告代言人】广告法修订草案规定：不得利用十周岁以下未成年人作为广告代言人。这意味着，时下火热的天天、cindy等小童星们将不能再代言广告。一些全国人大常委会委员认为，新增的这一条款有利于更好地保护未成年人权益，促使未成年人健康成长。http://t.cn/Rze3Ff0,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",55,42,91,http://ww3.sinaimg.cn/bmiddle/61add7e3jw1enipvjieroj20b408cmy0.jpg,2,0
