,userid,name,description,url,user_domain,weihao,gender,followers_count,bi_followers_count,friends_count,statuses_count,favourites_count,ucreate_at,allow_all_act_msg,geo_enabled,verified,allow_all_comment,verified_reason,credibility1,credibility,credibility3
600,2159013314,摄影9课官方微薄,一个出没于全国动漫同人相关展会的普通的不能再普通的摄影组织，绝对不是什么奇怪的组织。我们贯彻用手中相机记录同人展的每个精彩瞬间的理念。,,sheyingjiuke,,f,39057,1220,1269,61609,116,Sat Jun 04 23:59:32 +0800 2011,0,1,0,1,,0,1,2
601,2159296617,扬尘无导,"尊重他人,善待自己",,,,m,674,141,420,5745,31,Thu Jun 02 11:15:21 +0800 2011,0,1,0,1,,1,1,2
602,2159603227,嘟嘟叭叭945,欣赏一切美好事物,,,,f,200,69,298,546,13,Thu Jun 02 15:10:00 +0800 2011,0,1,0,1,,1,2,2
603,2160759785,南北南北的世界,快乐做自己,,,,f,198,105,213,2929,274,Fri Jun 03 17:25:38 +0800 2011,0,1,0,1,,1,2,2
604,2160870727,牧友牧友,从成俗到成熟,,,,f,101,5,151,348,19,Fri Jun 03 09:52:36 +0800 2011,0,1,0,1,,2,2,2
605,2161243971,中科梁东生,中国科学院大学保卫处长赵江波把我砍了！坚决与违法行为战斗到底！我的博客地址http://blog.sina.com.cn/zkliangdongsheng,http://blog.sina.com.cn/zkliangdongsheng,zkliangdongsheng,,m,1454,120,2247,1083,7011,Fri Jun 03 23:44:11 +0800 2011,1,0,1,1,中国科学院研究生院管理学院副教授,0,2,0
606,2161482632,阳光邓小哼,,,,,m,293,197,475,465,4,Mon Jun 06 16:33:35 +0800 2011,0,1,0,1,,1,2,2
607,2162297351,SuanPi_SSSuanPi,"Im it, and you can suck it ????",,,,f,170,5,276,2544,917,Sat Jun 04 18:31:46 +0800 2011,0,1,0,0,,3,2,2
608,2163156483,Kenneth_伯倫,喵星人一只~,,,,m,860,227,439,6356,708,Sat Jun 04 20:51:49 +0800 2011,0,1,0,0,,1,2,2
609,2166766967,CYH---税悟,进军零售行业财务管理,,,,f,87,48,254,48,0,Tue Jun 07 13:02:16 +0800 2011,0,1,0,1,,1,2,2
610,2167331310,kittyli8582011,,,,,f,30,3,35,64,0,Fri Jun 10 16:43:52 +0800 2011,0,1,0,1,,3,2,3
611,2170702862,淼淼是个土胖子,,,,,f,373,123,345,326,37,Sun Jun 12 18:31:53 +0800 2011,0,1,0,1,,1,2,2
612,2171053725,Dominate__X,近朱者赤，近墨者黑，面对这世界，是进是退,http://blog.sina.com.cn/u/2171053725,,,m,131,78,229,104,1,Fri Jun 10 13:11:58 +0800 2011,1,1,0,1,,1,2,1
613,2171494752,活力新上海人,做人难，做知性人更难。,http://blog.sina.com.cn/u/2171494752,,,m,338,19,217,12967,456,Mon Jun 13 10:08:09 +0800 2011,0,0,0,1,,2,2,1
614,2175250770,W素N,在等一个希望，就是平安康康，请求给予！,,,,f,197,62,140,942,85,Wed Jun 15 14:36:25 +0800 2011,0,1,0,1,,1,2,2
615,2177484865,吃碰,,,,,f,14,0,27,28,3,Tue Jun 14 11:32:55 +0800 2011,0,1,0,1,,3,3,3
616,2178271055,芋缘花琪琳,,,,,m,931,19,200,341,26,Tue Jun 14 20:25:17 +0800 2011,0,1,0,1,,1,2,2
617,2178334303,HY意大傻,"I'm it,and U can suck it !",,,533900456,f,1224,48,312,1634,17,Tue Jun 14 12:03:37 +0800 2011,0,1,0,1,,1,1,2
618,2179103303,芮法,耕耘路上，感恩贵人，鄙视小人!简单生活，真实做人。磊落光明，从心所向!,,,,f,738,103,255,14226,692,Sat Sep 03 17:52:48 +0800 2011,0,1,0,0,,2,2,2
